date,datetime,open,high,low,close,volume
2025-04-05 20:00:00+00:00,2025-04-05 20:00:00+00:00,118.63,120.57,118.39,120.32,69387.343782
2025-04-06 00:00:00+00:00,2025-04-06 00:00:00+00:00,120.32,121.13,119.41,119.98,110205.185906
2025-04-06 04:00:00+00:00,2025-04-06 04:00:00+00:00,119.98,120.59,118.81,119.2,90000.819214
2025-04-06 08:00:00+00:00,2025-04-06 08:00:00+00:00,119.2,120.18,118.16,118.63,78680.861459
2025-04-06 12:00:00+00:00,2025-04-06 12:00:00+00:00,118.62,118.85,114.31,115.0,310768.812503
2025-04-06 16:00:00+00:00,2025-04-06 16:00:00+00:00,114.99,115.29,106.29,108.08,727707.156241
2025-04-06 20:00:00+00:00,2025-04-06 20:00:00+00:00,108.07,108.56,103.83,105.9,459609.594534
2025-04-07 00:00:00+00:00,2025-04-07 00:00:00+00:00,105.9,107.83,102.21,103.25,480090.85564
2025-04-07 04:00:00+00:00,2025-04-07 04:00:00+00:00,103.24,103.77,95.2,97.15,960330.364336
2025-04-07 08:00:00+00:00,2025-04-07 08:00:00+00:00,97.14,102.63,96.94,100.28,550219.285273
2025-04-07 12:00:00+00:00,2025-04-07 12:00:00+00:00,100.29,113.01,99.74,106.68,1310916.595389
2025-04-07 16:00:00+00:00,2025-04-07 16:00:00+00:00,106.65,107.98,103.56,105.75,329452.236586
2025-04-07 20:00:00+00:00,2025-04-07 20:00:00+00:00,105.76,109.31,105.76,106.98,168953.388672
2025-04-08 00:00:00+00:00,2025-04-08 00:00:00+00:00,106.97,112.58,106.67,111.32,320854.044627
2025-04-08 04:00:00+00:00,2025-04-08 04:00:00+00:00,111.31,112.18,107.94,108.69,208746.129338
2025-04-08 08:00:00+00:00,2025-04-08 08:00:00+00:00,108.7,111.82,107.15,111.56,211822.05578
2025-04-08 12:00:00+00:00,2025-04-08 12:00:00+00:00,111.58,112.19,106.68,107.2,464217.898406
2025-04-08 16:00:00+00:00,2025-04-08 16:00:00+00:00,107.18,107.3,102.95,104.07,445458.856514
2025-04-08 20:00:00+00:00,2025-04-08 20:00:00+00:00,104.09,106.48,103.67,105.4,177407.216052
2025-04-09 00:00:00+00:00,2025-04-09 00:00:00+00:00,105.41,106.58,101.26,103.14,361442.813769
2025-04-09 04:00:00+00:00,2025-04-09 04:00:00+00:00,103.14,107.84,103.04,107.37,355663.159217
2025-04-09 08:00:00+00:00,2025-04-09 08:00:00+00:00,107.37,108.27,102.77,103.45,326733.979623
2025-04-09 12:00:00+00:00,2025-04-09 12:00:00+00:00,103.44,107.45,102.31,106.55,402180.925024
2025-04-09 16:00:00+00:00,2025-04-09 16:00:00+00:00,106.56,120.71,106.25,118.9,1167224.439413
2025-04-09 20:00:00+00:00,2025-04-09 20:00:00+00:00,118.96,120.5,118.03,119.07,217335.379688
2025-04-10 00:00:00+00:00,2025-04-10 00:00:00+00:00,119.05,119.29,114.48,115.49,300807.154087
2025-04-10 04:00:00+00:00,2025-04-10 04:00:00+00:00,115.48,116.95,114.08,114.81,265221.075085
2025-04-10 08:00:00+00:00,2025-04-10 08:00:00+00:00,114.81,115.22,113.41,113.96,151645.482108
2025-04-10 12:00:00+00:00,2025-04-10 12:00:00+00:00,113.96,115.73,109.39,109.6,441383.802779
2025-04-10 16:00:00+00:00,2025-04-10 16:00:00+00:00,109.6,111.91,108.33,111.33,269049.95038
2025-04-10 20:00:00+00:00,2025-04-10 20:00:00+00:00,111.32,113.39,111.25,112.83,124360.499849
2025-04-11 00:00:00+00:00,2025-04-11 00:00:00+00:00,112.8,115.76,112.16,115.42,195556.923612
2025-04-11 04:00:00+00:00,2025-04-11 04:00:00+00:00,115.41,117.75,114.97,116.6,186754.435641
2025-04-11 08:00:00+00:00,2025-04-11 08:00:00+00:00,116.61,119.39,115.88,118.02,288111.726181
2025-04-11 12:00:00+00:00,2025-04-11 12:00:00+00:00,118.02,121.54,117.59,119.91,530752.74008
2025-04-11 16:00:00+00:00,2025-04-11 16:00:00+00:00,119.92,122.13,118.64,120.89,298930.256494
2025-04-11 20:00:00+00:00,2025-04-11 20:00:00+00:00,120.87,122.7,119.96,121.41,122966.170763
2025-04-12 00:00:00+00:00,2025-04-12 00:00:00+00:00,121.41,122.24,119.41,120.19,167861.707272
2025-04-12 04:00:00+00:00,2025-04-12 04:00:00+00:00,120.2,124.66,119.83,124.25,335405.52745
2025-04-12 08:00:00+00:00,2025-04-12 08:00:00+00:00,124.25,125.51,124.01,124.57,179114.274051
2025-04-12 12:00:00+00:00,2025-04-12 12:00:00+00:00,124.57,131.73,124.38,130.51,470125.350574
2025-04-12 16:00:00+00:00,2025-04-12 16:00:00+00:00,130.49,131.57,128.22,130.73,281658.294184
2025-04-12 20:00:00+00:00,2025-04-12 20:00:00+00:00,130.71,134.09,130.65,132.26,216090.563997
2025-04-13 00:00:00+00:00,2025-04-13 00:00:00+00:00,132.25,134.0,130.89,131.81,285684.623473
2025-04-13 04:00:00+00:00,2025-04-13 04:00:00+00:00,131.81,132.04,128.16,128.53,254098.140817
2025-04-13 08:00:00+00:00,2025-04-13 08:00:00+00:00,128.54,131.61,128.19,129.82,169968.535054
2025-04-13 12:00:00+00:00,2025-04-13 12:00:00+00:00,129.82,130.44,126.83,128.73,278285.937639
2025-04-13 16:00:00+00:00,2025-04-13 16:00:00+00:00,128.71,132.6,127.07,128.21,262877.315745
2025-04-13 20:00:00+00:00,2025-04-13 20:00:00+00:00,128.22,129.84,125.3,128.38,261366.38223
2025-04-14 00:00:00+00:00,2025-04-14 00:00:00+00:00,128.38,136.2,127.99,131.73,405552.581326
2025-04-14 04:00:00+00:00,2025-04-14 04:00:00+00:00,131.74,134.32,131.13,132.28,167438.958996
2025-04-14 08:00:00+00:00,2025-04-14 08:00:00+00:00,132.31,134.16,131.5,133.53,202133.028925
2025-04-14 12:00:00+00:00,2025-04-14 12:00:00+00:00,133.53,134.79,128.13,128.81,373405.100271
2025-04-14 16:00:00+00:00,2025-04-14 16:00:00+00:00,128.8,131.98,128.05,131.05,176077.354805
2025-04-14 20:00:00+00:00,2025-04-14 20:00:00+00:00,131.1,131.19,128.63,129.4,90800.95803
2025-04-15 00:00:00+00:00,2025-04-15 00:00:00+00:00,129.4,130.79,127.73,130.52,191461.508043
2025-04-15 04:00:00+00:00,2025-04-15 04:00:00+00:00,130.54,132.3,129.67,131.56,92869.957728
2025-04-15 08:00:00+00:00,2025-04-15 08:00:00+00:00,131.57,133.9,131.35,132.16,201360.967622
2025-04-15 12:00:00+00:00,2025-04-15 12:00:00+00:00,132.16,134.46,129.11,129.59,277748.14758
2025-04-15 16:00:00+00:00,2025-04-15 16:00:00+00:00,129.61,130.59,127.31,127.9,184500.836937
2025-04-15 20:00:00+00:00,2025-04-15 20:00:00+00:00,127.89,128.59,125.79,126.11,147755.000855
2025-04-16 00:00:00+00:00,2025-04-16 00:00:00+00:00,126.09,127.34,124.8,126.44,204461.748288
2025-04-16 04:00:00+00:00,2025-04-16 04:00:00+00:00,126.45,126.68,124.37,124.78,161019.102599
2025-04-16 08:00:00+00:00,2025-04-16 08:00:00+00:00,124.78,126.64,123.5,126.27,210794.878242
2025-04-16 12:00:00+00:00,2025-04-16 12:00:00+00:00,126.27,129.58,124.46,128.36,235552.11157
2025-04-16 16:00:00+00:00,2025-04-16 16:00:00+00:00,128.4,133.88,124.85,132.44,531475.985523
2025-04-16 20:00:00+00:00,2025-04-16 20:00:00+00:00,132.43,133.7,130.78,131.33,200458.846524
2025-04-17 00:00:00+00:00,2025-04-17 00:00:00+00:00,131.33,132.66,129.47,129.77,137518.505367
2025-04-17 04:00:00+00:00,2025-04-17 04:00:00+00:00,129.77,135.6,129.59,134.26,270572.520615
2025-04-17 08:00:00+00:00,2025-04-17 08:00:00+00:00,134.27,135.0,132.41,133.1,157197.559122
2025-04-17 12:00:00+00:00,2025-04-17 12:00:00+00:00,133.11,134.47,130.55,133.44,241557.473256
2025-04-17 16:00:00+00:00,2025-04-17 16:00:00+00:00,133.46,136.21,132.01,132.93,287954.653164
2025-04-17 20:00:00+00:00,2025-04-17 20:00:00+00:00,132.93,135.33,132.92,134.82,102476.104307
2025-04-18 00:00:00+00:00,2025-04-18 00:00:00+00:00,134.82,136.0,133.76,134.51,120910.43905
2025-04-18 04:00:00+00:00,2025-04-18 04:00:00+00:00,134.52,135.01,133.25,134.91,90966.413173
2025-04-18 08:00:00+00:00,2025-04-18 08:00:00+00:00,134.92,135.54,133.56,134.26,126237.199673
2025-04-18 12:00:00+00:00,2025-04-18 12:00:00+00:00,134.26,135.16,132.46,132.92,128101.456525
2025-04-18 16:00:00+00:00,2025-04-18 16:00:00+00:00,132.93,134.48,132.69,134.25,103201.151113
2025-04-18 20:00:00+00:00,2025-04-18 20:00:00+00:00,134.23,134.39,133.22,134.05,76973.351462
2025-04-19 00:00:00+00:00,2025-04-19 00:00:00+00:00,134.05,139.15,133.58,138.79,245552.75801
2025-04-19 04:00:00+00:00,2025-04-19 04:00:00+00:00,138.78,139.46,137.73,138.76,144452.867597
2025-04-19 08:00:00+00:00,2025-04-19 08:00:00+00:00,138.76,139.95,138.45,138.77,189857.772123
2025-04-19 12:00:00+00:00,2025-04-19 12:00:00+00:00,138.78,140.59,138.49,138.97,145465.500308
2025-04-19 16:00:00+00:00,2025-04-19 16:00:00+00:00,138.97,139.46,137.67,138.69,158969.757191
2025-04-19 20:00:00+00:00,2025-04-19 20:00:00+00:00,138.7,139.89,138.32,139.87,62971.459516
2025-04-20 00:00:00+00:00,2025-04-20 00:00:00+00:00,139.86,141.96,139.39,140.96,158968.343518
2025-04-20 04:00:00+00:00,2025-04-20 04:00:00+00:00,140.97,141.58,138.62,139.62,149317.711383
2025-04-20 08:00:00+00:00,2025-04-20 08:00:00+00:00,139.61,139.8,135.84,136.39,290405.515465
2025-04-20 12:00:00+00:00,2025-04-20 12:00:00+00:00,136.38,138.03,135.65,135.95,147270.845173
2025-04-20 16:00:00+00:00,2025-04-20 16:00:00+00:00,135.94,137.28,135.71,137.2,94593.346936
2025-04-20 20:00:00+00:00,2025-04-20 20:00:00+00:00,137.2,138.48,136.35,137.88,94216.123122
