date,datetime,open,high,low,close,volume
2023-12-08 16:00:00+00:00,2023-12-08 16:00:00+00:00,71.99,77.76,71.99,75.58,2149709.41829
2023-12-09 16:00:00+00:00,2023-12-09 16:00:00+00:00,75.59,75.86,70.67,73.74,1258255.35508
2023-12-10 16:00:00+00:00,2023-12-10 16:00:00+00:00,73.71,74.99,62.8,69.24,2375995.924753
2023-12-11 16:00:00+00:00,2023-12-11 16:00:00+00:00,69.22,72.44,67.74,68.45,2123539.272143
2023-12-12 16:00:00+00:00,2023-12-12 16:00:00+00:00,68.45,69.11,63.67,67.55,1527497.996594
2023-12-13 16:00:00+00:00,2023-12-13 16:00:00+00:00,67.57,73.83,66.74,71.65,1834877.660976
2023-12-14 16:00:00+00:00,2023-12-14 16:00:00+00:00,71.66,79.54,71.66,76.06,2182953.824416
2023-12-15 16:00:00+00:00,2023-12-15 16:00:00+00:00,76.04,77.46,71.21,77.14,1348821.33432
2023-12-16 16:00:00+00:00,2023-12-16 16:00:00+00:00,77.15,77.19,71.4,72.68,902490.274255
2023-12-17 16:00:00+00:00,2023-12-17 16:00:00+00:00,72.7,75.08,66.9,70.74,1675131.022225
2023-12-18 16:00:00+00:00,2023-12-18 16:00:00+00:00,70.77,76.37,70.4,73.68,1309451.135516
2023-12-19 16:00:00+00:00,2023-12-19 16:00:00+00:00,73.68,81.32,71.81,80.73,1785333.598313
2023-12-20 16:00:00+00:00,2023-12-20 16:00:00+00:00,80.74,88.84,79.09,87.47,3036621.163838
2023-12-21 16:00:00+00:00,2023-12-21 16:00:00+00:00,87.5,99.55,87.49,96.34,3803774.874157
2023-12-22 16:00:00+00:00,2023-12-22 16:00:00+00:00,96.31,98.4,92.75,96.75,1546140.982097
2023-12-23 16:00:00+00:00,2023-12-23 16:00:00+00:00,96.74,118.0,96.14,113.53,3300788.964825
2023-12-24 16:00:00+00:00,2023-12-24 16:00:00+00:00,113.59,124.13,107.71,123.15,2487274.334028
2023-12-25 16:00:00+00:00,2023-12-25 16:00:00+00:00,123.12,126.65,110.23,110.54,2971588.308658
2023-12-26 16:00:00+00:00,2023-12-26 16:00:00+00:00,110.55,115.38,101.73,107.82,3004031.164714
2023-12-27 16:00:00+00:00,2023-12-27 16:00:00+00:00,107.79,110.9,97.21,99.78,2342361.180725
2023-12-28 16:00:00+00:00,2023-12-28 16:00:00+00:00,99.77,109.98,98.41,105.93,1924494.597431
2023-12-29 16:00:00+00:00,2023-12-29 16:00:00+00:00,105.93,108.0,100.65,104.25,1408691.253542
2023-12-30 16:00:00+00:00,2023-12-30 16:00:00+00:00,104.23,105.23,99.57,102.55,968460.367556
2023-12-31 16:00:00+00:00,2023-12-31 16:00:00+00:00,102.51,106.38,99.8,105.99,870874.579778
2024-01-01 16:00:00+00:00,2024-01-01 16:00:00+00:00,105.99,116.9,105.83,109.65,1731787.755055
2024-01-02 16:00:00+00:00,2024-01-02 16:00:00+00:00,109.67,110.49,81.0,102.09,3349405.729315
2024-01-03 16:00:00+00:00,2024-01-03 16:00:00+00:00,102.09,104.39,94.95,103.68,1683623.342281
2024-01-04 16:00:00+00:00,2024-01-04 16:00:00+00:00,103.67,108.19,96.84,98.05,1722934.568331
2024-01-05 16:00:00+00:00,2024-01-05 16:00:00+00:00,98.02,100.5,91.55,95.18,1480697.873682
2024-01-06 16:00:00+00:00,2024-01-06 16:00:00+00:00,95.19,97.23,91.33,93.94,968227.619656
2024-01-07 16:00:00+00:00,2024-01-07 16:00:00+00:00,93.94,95.74,85.15,94.65,1835401.79471
2024-01-08 16:00:00+00:00,2024-01-08 16:00:00+00:00,94.72,103.95,93.72,99.85,1979290.644882
2024-01-09 16:00:00+00:00,2024-01-09 16:00:00+00:00,99.83,105.5,92.07,94.72,1937674.636427
2024-01-10 16:00:00+00:00,2024-01-10 16:00:00+00:00,94.72,107.22,92.76,100.79,2573118.215109
2024-01-11 16:00:00+00:00,2024-01-11 16:00:00+00:00,100.8,102.76,95.06,95.36,970845.683917
2024-01-12 16:00:00+00:00,2024-01-12 16:00:00+00:00,95.33,96.74,86.13,92.91,1138793.182523
2024-01-13 16:00:00+00:00,2024-01-13 16:00:00+00:00,92.94,99.78,91.57,99.53,955145.270635
2024-01-14 16:00:00+00:00,2024-01-14 16:00:00+00:00,99.54,102.97,93.0,93.54,1094227.190793
2024-01-15 16:00:00+00:00,2024-01-15 16:00:00+00:00,93.52,98.26,93.25,97.23,709206.890398
2024-01-16 16:00:00+00:00,2024-01-16 16:00:00+00:00,97.24,102.84,96.07,99.38,1324697.808635
2024-01-17 16:00:00+00:00,2024-01-17 16:00:00+00:00,99.42,103.58,97.3,98.26,1011423.498104
2024-01-18 16:00:00+00:00,2024-01-18 16:00:00+00:00,98.26,98.34,90.68,91.24,1367740.276197
2024-01-19 16:00:00+00:00,2024-01-19 16:00:00+00:00,91.23,94.94,87.04,90.84,1068768.776487
2024-01-20 16:00:00+00:00,2024-01-20 16:00:00+00:00,90.84,93.92,90.72,92.5,425698.917848
2024-01-21 16:00:00+00:00,2024-01-21 16:00:00+00:00,92.49,92.9,85.66,87.27,926963.344638
2024-01-22 16:00:00+00:00,2024-01-22 16:00:00+00:00,87.27,87.68,78.94,82.7,1893833.012197
2024-01-23 16:00:00+00:00,2024-01-23 16:00:00+00:00,82.71,88.56,80.4,87.0,1460991.733817
2024-01-24 16:00:00+00:00,2024-01-24 16:00:00+00:00,87.0,89.63,85.54,86.42,757078.69767
2024-01-25 16:00:00+00:00,2024-01-25 16:00:00+00:00,86.43,92.67,85.1,92.43,927605.195341
2024-01-26 16:00:00+00:00,2024-01-26 16:00:00+00:00,92.42,93.86,90.64,92.81,661010.983245
2024-01-27 16:00:00+00:00,2024-01-27 16:00:00+00:00,92.83,99.45,92.21,97.09,1027854.228512
2024-01-28 16:00:00+00:00,2024-01-28 16:00:00+00:00,97.08,100.26,93.46,99.92,880635.495787
2024-01-29 16:00:00+00:00,2024-01-29 16:00:00+00:00,99.92,106.51,98.97,104.77,1276677.779882
2024-01-30 16:00:00+00:00,2024-01-30 16:00:00+00:00,104.8,105.71,97.34,101.54,1529212.268249
2024-01-31 16:00:00+00:00,2024-01-31 16:00:00+00:00,101.54,102.82,93.11,96.01,1584017.705643
2024-02-01 16:00:00+00:00,2024-02-01 16:00:00+00:00,95.99,102.57,94.85,101.29,1070041.185214
2024-02-02 16:00:00+00:00,2024-02-02 16:00:00+00:00,101.3,102.42,96.63,98.01,548464.234715
2024-02-03 16:00:00+00:00,2024-02-03 16:00:00+00:00,98.01,98.76,95.91,97.64,434277.645387
